tag,base_tag,seed,structure,degree,effective_degree,tightness,producers,consumers,tail_cycles,repeats,valid,floor_ms,ceiling_ms,impl_ms,space_pct,captured_pct,of_space_pct,speedup,floor_ms_ci_low,floor_ms_ci_high,ceiling_ms_ci_low,ceiling_ms_ci_high,impl_ms_ci_low,impl_ms_ci_high,space_pct_ci_low,space_pct_ci_high,captured_pct_ci_low,captured_pct_ci_high,of_space_pct_ci_low,of_space_pct_ci_high,speedup_ci_low,speedup_ci_high
interval_d64_s202,interval_d64,202,interval,64,64.0,1.0,148,148,1000000,31,1,1.409408,0.898112,0.916,36.27735900463173,35.00817364453728,96.50143947928402,1.538655021834061,1.409088,1.409536,0.897728,0.898816,0.91584,0.91616,36.224512964897144,36.307496707987106,34.98773953319408,35.02247650183899,96.41048089550371,96.63991975927783,1.5381714046238737,1.538993710691824
interval_d64_s303,interval_d64,303,interval,64,64.0,1.0,148,148,1000000,31,1,1.40912,0.897792,0.916576,36.28704439650278,34.95401385261724,96.326428437324,1.5373738784345214,1.408608,1.409536,0.8976,0.89824,0.915904,0.91696,36.25150594323639,36.31265891754449,34.91493856042882,35.00737881711886,96.22747747747748,96.48739437786237,1.5364508811725701,1.538636204848739
interval_d8_s101,interval_d8,101,interval,8,8.0,1.0,148,148,1000000,31,1,1.409216,0.897888,0.90304,36.284572414732736,35.91897906353604,98.99242756117405,1.5605244507441531,1.40848,1.40944,0.897472,0.898464,0.902432,0.90352,36.230502009399906,36.31822722731813,35.858872708271804,35.96548983993643,98.87302779864764,99.1599272772867,1.5590620904615167,1.5616579208622892
interval_d8_s202,interval_d8,202,interval,8,8.0,1.0,148,148,1000000,31,1,1.40896,0.898368,0.902112,36.23892800363388,35.97320009084714,99.26673351717223,1.561845979213224,1.408576,1.4092479999999998,0.898016,0.89856,0.901888,0.902496,36.21224761757755,36.2678534934944,35.936754583248145,35.993459450866396,99.16697983214333,99.34169278996865,1.5609574468085108,1.562340334941811
interval_d8_s303,interval_d8,303,interval,8,8.0,1.0,148,148,1000000,31,1,1.409248,0.8984,0.902464,36.24968777674334,35.96130702332024,99.20446003507892,1.5615559180199985,1.408576,1.409408,0.898112,0.898944,0.902272,0.90288,36.198046786282084,36.271571298819254,35.90430969852557,35.97783883199745,99.06178019867158,99.32182103610674,1.5601672987629818,1.561959143140871
strided_d32_s101,strided_d32,101,strided,32,141.76,0.2264,148,148,1000000,31,1,1.40928,0.898528,0.935744,36.24205267938238,33.601271571298824,92.71348912975377,1.506052937555571,1.408928,1.409504,0.898144,0.89904,0.93472,0.935968,36.199105297817745,36.2785839180689,33.578564940962764,33.67773286706935,92.61160854047962,92.9557144649354,1.505538082866129,1.50778922860958
strided_d32_s202,strided_d32,202,strided,32,141.76,0.2264,148,148,1000000,31,1,1.409056,0.898176,0.936832,36.256898235414354,33.513501237708084,92.4334481678672,1.5040647629457577,1.40848,1.409312,0.89792,0.898656,0.93632,0.937056,36.210734815449285,36.28292461398729,33.48024626848718,33.55128729055987,92.35971943887773,92.57053291536052,1.5033128415300547,1.5049200492004922
strided_d32_s303,strided_d32,303,strided,32,141.76,0.2264,148,148,1000000,31,1,1.40896,0.898176,0.93664,36.25255507608449,33.52259822848058,92.469615336424,1.5042705842159207,1.408512,1.40944,0.897792,0.89856,0.936288,0.936864,36.20728825881498,36.283346577364064,33.492366412213734,33.55361765908161,92.39348370927318,92.56447261090544,1.503586800573888,1.5049728288731672
tail0_d8_s101,tail0_d8,101,interval,8,8.0,1.0,148,148,0,31,1,1.0016,0.620416,0.90192,38.057507987220454,9.952076677316294,26.150100738750833,1.1105197800248359,1.001088,1.00176,0.619776,0.6208,0.901408,0.90224,37.99859371004859,38.12733603807941,9.891971362822819,10.011819953359097,26.000839278220756,26.30033557046979,1.109779023161778,1.1112570556285277
tail0_d8_s202,tail0_d8,202,interval,8,8.0,1.0,148,148,0,31,1,1.001184,0.619872,0.901792,38.086106050436285,9.927445904049607,26.065793890567306,1.110216103048153,1.000896,1.001728,0.619136,0.620256,0.9016,0.9024,38.042713728499265,38.17711891037813,9.85744422425366,9.985301635991807,25.875535399344926,26.187882343082205,1.109353946528615,1.110929679457598
tail0_d8_s303,tail0_d8,303,interval,8,8.0,1.0,148,148,0,31,1,1.001568,0.619712,0.901504,38.12581871625291,9.990734528259694,26.204642587781795,1.1109967343461593,1.001184,1.00192,0.61936,0.620544,0.901472,0.902112,38.03635898910508,38.17391582244096,9.908268609965807,10.022357074417116,26.00234859922833,26.289740793557595,1.1099797779118035,1.1113871929575465
tail2m_d8_s101,tail2m_d8,101,interval,8,8.0,1.0,148,148,2000000,31,1,1.917632,1.407936,1.407968,26.57944798584921,26.577779261088672,99.9937217478654,1.361985499670447,1.91744,1.918112,1.407616,1.408096,1.407584,1.408384,26.568758344459283,26.606162726681244,26.554860241969124,26.605152506173663,99.88710486703464,100.06907812107514,1.3615604835044988,1.3624934639779935
tail2m_d8_s202,tail2m_d8,202,interval,8,8.0,1.0,148,148,2000000,31,1,1.918144,1.408192,1.408192,26.585699509525874,26.585699509525874,100.0,1.3621324364859337,1.917856,1.91824,1.407616,1.408608,1.407808,1.408512,26.55754663463143,26.619065096259725,26.564116253461908,26.609391942614064,99.86206896551724,100.14439979909595,1.3617320974191203,1.362572168932127
tail2m_d8_s303,tail2m_d8,303,interval,8,8.0,1.0,148,148,2000000,31,1,1.918304,1.407936,1.408704,26.60516789831017,26.56513253373814,99.84952034610323,1.361750942710463,1.917664,1.918592,1.407552,1.408032,1.40832,1.40896,26.57934256632738,26.629084176993512,26.533949638727115,26.592497456340798,99.74923202307066,99.93102583396039,1.3611729432608004,1.3622585775960008
