Device: NVIDIA B200 | SMs=148 | SM clock~1.97 GHz | CC 10.0
Pilot semantics=2 tag=interval_d1_s101 structure=interval degree=1 effective_degree=1.00 tightness=1.0000 grid=148 ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 producer_occ=16 consumer_occ=10
mode                    median_ms       min_ms      valid
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=16 ms=0.901792
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=17 ms=0.902048
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=18 ms=0.901792
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=19 ms=0.902528
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=20 ms=0.903040
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=21 ms=0.903200
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=22 ms=0.901504
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=23 ms=0.903072
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=24 ms=0.901920
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=25 ms=0.904256
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=26 ms=0.903680
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=27 ms=0.902432
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=28 ms=0.904128
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=29 ms=0.903584
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=30 ms=0.903520
interval-backoff          0.90304      0.90150       PASS
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=0 ms=0.903776
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=1 ms=0.903168
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=2 ms=0.902880
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=3 ms=0.903520
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=4 ms=0.903744
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=5 ms=0.903456
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=6 ms=0.903712
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=7 ms=0.903808
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=8 ms=0.902496
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=9 ms=0.903168
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=10 ms=0.903584
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=11 ms=0.912352
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=12 ms=0.903840
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=13 ms=0.903520
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=14 ms=0.904096
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=15 ms=0.904032
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=16 ms=0.903296
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=17 ms=0.903232
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=18 ms=0.905568
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=19 ms=0.905088
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=20 ms=0.903776
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=21 ms=0.903360
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=22 ms=0.904224
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=23 ms=0.903648
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=24 ms=0.903744
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=25 ms=0.903040
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=26 ms=0.903328
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=27 ms=0.903296
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=28 ms=0.903840
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=29 ms=0.903360
SAMPLE tag=interval_d8_s101 mode=exact-backoff rep=30 ms=0.903456
exact-backoff             0.90358      0.90250       PASS
BRACKET floor=1.40922 ceiling=0.89789 space=36.285% impl=interval-backoff impl_ms=0.90304 captured=35.919% of_space=99.0%
SUMMARY_PILOT semantics=2 tag=interval_d8_s101 structure=interval degree=8 eff_degree=8.00 tightness=1.0000 producers=148 consumers=148 threads=128 sms=148 producer_occ=16 consumer_occ=10 trigger_floor=ready trigger_impl=entry trigger_ceiling=entry ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 floor_ms=1.409216 ceiling_ms=0.897888 interval_spin_ms=0.901632 interval_backoff_ms=0.903040 exact_backoff_ms=0.903584 impl=interval-backoff impl_ms=0.903040 space_pct=36.2846 captured_pct=35.9190 of_space_pct=98.992 valid=1
Device: NVIDIA B200 | SMs=148 | SM clock~1.97 GHz | CC 10.0
Pilot semantics=2 tag=interval_d32_s101 structure=interval degree=32 effective_degree=32.00 tightness=1.0000 grid=148 ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 producer_occ=16 consumer_occ=10
mode                    median_ms       min_ms      valid
SAMPLE tag=interval_d32_s101 mode=none rep=0 ms=0.897760
SAMPLE tag=interval_d32_s101 mode=none rep=1 ms=0.899264
SAMPLE tag=interval_d32_s101 mode=none rep=2 ms=0.898560
SAMPLE tag=interval_d32_s101 mode=none rep=3 ms=0.897984
SAMPLE tag=interval_d32_s101 mode=none rep=4 ms=0.898784
SAMPLE tag=interval_d32_s101 mode=none rep=5 ms=0.898080
SAMPLE tag=interval_d32_s101 mode=none rep=6 ms=0.897760
SAMPLE tag=interval_d32_s101 mode=none rep=7 ms=0.897632
SAMPLE tag=interval_d32_s101 mode=none rep=8 ms=0.897472
SAMPLE tag=interval_d32_s101 mode=none rep=9 ms=0.898272
SAMPLE tag=interval_d32_s101 mode=none rep=10 ms=0.898304
SAMPLE tag=interval_d32_s101 mode=none rep=11 ms=0.898112
