tag,kernel_id,block_id,sm_id,t_launch,t_dep_satisfied,t_end
chain6,3,15,65,1785763899514994624,1785763899515504704,1785763899516014304
chain6,3,16,2,1785763899514994656,1785763899515504736,1785763899516013920
chain6,3,17,3,1785763899514994656,1785763899515504736,1785763899516013920
chain6,3,18,18,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,19,19,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,20,34,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,21,35,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,22,50,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,23,51,1785763899514994720,1785763899515504736,1785763899516013920
chain6,3,24,66,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,25,67,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,26,80,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,27,81,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,28,94,1785763899514994720,1785763899515504736,1785763899516013920
chain6,3,29,95,1785763899514994720,1785763899515504736,1785763899516013920
chain6,3,30,108,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,31,109,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,32,122,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,33,123,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,34,4,1785763899514994656,1785763899515504736,1785763899516013920
chain6,3,35,5,1785763899514994656,1785763899515504736,1785763899516013920
chain6,3,36,20,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,37,21,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,38,36,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,39,37,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,40,52,1785763899514994720,1785763899515504736,1785763899516013952
chain6,3,41,53,1785763899514994720,1785763899515504736,1785763899516013952
chain6,3,42,68,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,43,69,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,44,82,1785763899514994688,1785763899515504736,1785763899516013952
chain6,3,45,83,1785763899514994688,1785763899515504736,1785763899516013952
chain6,3,46,96,1785763899514994720,1785763899515504736,1785763899516013952
chain6,3,47,97,1785763899514994720,1785763899515504736,1785763899516013952
chain6,3,48,110,1785763899514994720,1785763899515504736,1785763899516013952
chain6,3,49,111,1785763899514994720,1785763899515504736,1785763899516013920
chain6,3,50,124,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,51,125,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,52,6,1785763899514994656,1785763899515504736,1785763899516013888
